name,rating,price,restaurant_type,description,address
Le Rey - Restaurant Paris 11,"3,9",20–30 €,Restaurant français,"Plats classiques de brasserie, comme le steak-frites et les assiettes de charcuterie, dans une salle confortable aux murs en lambris.","130 Rue de la Roquette, 75011 Paris"
Qui plume la lune,"4,7",+ de 100 €,Restaurant français,"Menus fixes de mets français innovants accompagnés de vin, proposés dans un restaurant haut de gamme élégant.","50 Rue Amelot, 75011 Paris"
Les Petits Papiers,"4,6",30–40 €,Restaurant français,Ce petit bistrot moderne orné de tons rouges propose une cuisine fine dans une atmosphère chaleureuse.,"18 Rue Oberkampf, 75011 Paris"
Pierre Sang,"4,5",€€,Restaurant,"Une décoration claire, épurée et conviviale de style industriel pour un menu unique cosmopolite et raffiné.","55 Rue Oberkampf, 75011 Paris"
Les Cuivres - Restaurant Paris 11,"4,6",20–40 €,Restaurant,,"68 Av. de la République, 75011 Paris"
Laïa,"4,8",,Restaurant,"Restaurant élégant et isolé proposant des plats méditerranéens, une terrasse et un jardin verdoyant.","226 Bd Voltaire, 75011 Paris"
Brasserie Martin,"4,6",20–30 €,Restaurant français,"Élégant restaurant avec terrasse, proposant un menu copieux de plats classiques de saison dans une ambiance chaleureuse.","24 Rue Saint-Ambroise, 75011 Paris"
Eunoé,"4,8",,Restaurant,,"6 Rue Rochebrune, 75011 Paris"
Cavalier.,"4,6",,Restaurant géorgien,Repas de type brasserie et cocktails classiques servis dans un espace de style rustique à l'ambiance détendue.,"22 Rue du Faubourg du Temple, 75011 Paris"
Melt Oberkampf,"4,7",20–30 €,Restaurant de viande,"Plateaux de viande fumée, grillades et hamburgers servis dans un restaurant rustique aux intérieurs en bois et en briques.","74 Rue de la Folie Méricourt, 75011 Paris"
Onze À Table,"4,7",,Restaurant,Cuisine traditionnelle rustique et cocktails originaux proposés dans un espace simple et chaleureux.,"10 Rue de la Folie Méricourt, 75011 Paris"
L'Acolyte de l'Insolite,"4,8",20–30 €,Restaurant,"Bistrot cosy proposant des menus à prix fixe évoluant au fil des saisons, et des vins naturels.","49 Rue de la Folie Méricourt, 75011 Paris"
EDK ( Étoile du Kashmir 11ème),"4,0",10–20 €,Restaurant indien,Spécialités indiennes et ambiance feutrée caractérisent ce restaurant traditionnel aux touches chaleureuses.,"63 Rue de Charonne, 75011 Paris"
Restaurant les Fabricants,"4,5",20–30 €,Restaurant,"Brasserie à l'ambiance décontractée, proposant du vin et mettant en valeur des recettes du sud-ouest de la France.","61 Rue Jean-Pierre Timbaud, 75011 Paris"
Restaurant Korus,"4,7",+ de 100 €,Restaurant français,"Formules fixes raffinées pour le déjeuner, menus dégustation le soir et vins naturels dans un cadre élégant.","73 Rue Amelot, 75011 Paris"
L'Aubergeade,"4,8",30–40 €,Restaurant,Brasserie typique et cosy proposant des plats français traditionnels comme le steak tartare et des plats de poissons/fruits de mer.,"17 Rue Chaligny, 75012 Paris"
Virtus,"4,8",+ de 100 €,Restaurant gastronomique,"Restaurant branché au décor vintage proposant des menus dégustation innovants et raffinés, et du vin.","29 Rue de Cotte, 75012 Paris"
L'Alchimiste,"4,7",20–30 €,Restaurant français,"Cuisine française créative dans une ambiance bistro, avec luminaires Art nouveau et grandes ardoises murales.","181 Rue de Charenton, 75012 Paris"
L'Ébauchoir,"4,7",€€,Bistro,Plats français revisités de manière créative et vaste carte des vins dans une brasserie simple avec terrasse côté rue.,"43-45 Rue de Cîteaux, 75012 Paris"
La Cantine de daumesnil - restaurant paris 12,"4,3",20–30 €,Restaurant,,"119 Rue de Reuilly, 75012 Paris"
Les affranchis,"4,5",20–30 €,Restaurant,"Brasserie au charme d'antan avec terrasse, proposant des plats de saison typiques et des offres pour les happy hours.","14 Av. Daumesnil, 75012 Paris"
amarante restaurant paris 75012,"4,6",,Restaurant français,"Ce restaurant sobre sert des spécialités de brasserie, ainsi que des plats français traditionnels à base de porc et de veau.","4 Rue Biscornet, 75012 Paris"
Le Picotin,"4,5",20–40 €,Restaurant français,"Cuisine traditionnelle servie dans un cadre chaleureux et décontracté, avec fresque murale pittoresque et concerts de jazz hebdomadaires.","35 Rue Sibuet, 75012 Paris"
À la Biche au Bois,"4,5",40–50 €,Restaurant français,"Plats traditionnels français, tels que terrine et poulet braisé, servis dans une ambiance détendue.","45 Av. Ledru Rollin, 75012 Paris"
Nous4 | Cuisine Bistronomique,"4,7",€€,Restaurant français,,"3 Rue Beccaria, 75012 Paris"
Bistro Lyonnais,"4,4",20–30 €,Restaurant français,"Établissement simple avec tables côté rue, servant des steaks-frites, de la charcuterie, des pâtes et des cocktails.","6 Rue Michel Chasles, 75012 Paris"
TOWA Restaurant,"4,8",€€,Restaurant français,"Restaurant simple proposant des plats et des desserts locaux créatifs avec une touche japonaise, ainsi que du vin.","75 Rue Crozatier, 75012 Paris"
CHARLETPERRIN,"4,4",20–30 €,Restaurant français,Spécialités françaises dont des tartares et du confit de canard servies dans une brasserie décontractée doté d'une terrasse.,"17 Rue Michel Chasles, 75012 Paris"
Le 217 Brasserie Restaurant,"4,7",20–30 €,Restaurant,,"217 Av. Daumesnil, 75012 Paris"
Le Touareg,"4,6",20–30 €,Restaurant algérien,"Couscous, tajines, plats kabyles et vins du Maghreb dans une salle chaleureuse aux murs de pierres apparentes.","228 Rue de Charenton, 75012 Paris"
Le Singe À Paris,"4,6",€€,Restaurant français,,"40 Rue Traversière, 75012 Paris"
La Promenade,"4,4",20–30 €,Brasserie,"Cette brasserie décorée de plantes suspendues et dotée d'une terrasse sert charcuterie, burgers, grillades et plats végétariens.","32 Av. Daumesnil, 75012 Paris"
Au Métro,"4,1",€€,Brasserie,Vaste restaurant-bar avec grande terrasse servant fruits de mer et plats du jour dans un décor de brasserie.,"8 Pl. Félix Eboué, 75012 Paris"
Le Chasséen,"4,7",20–30 €,Restaurant français,,"6 Rue Crozatier, 75012 Paris"
Le Quincy,"4,4",€€€,Restaurant français,Spécialités régionales françaises et ambiance décontractée dans un décor rustique avec nappes en vichy rose.,"28 Av. Ledru Rollin, 75012 Paris"
SOURIRE le restaurant,"4,7",+ de 100 €,Restaurant gastronomique,Ce restaurant sert une cuisine française raffinée dans une salle chic et moderne rehaussée de velours bleu.,"15 Rue de la Santé, 75013 Paris"
Under The Sea Restaurant - Ephemera,"4,7",20–40 €,Restaurant,"Spectaculaire restaurant branché inspiré des fonds marins, servant des plats de poissons/fruits de mer du monde et des cocktails.","160 Av. de France, 75013 Paris"
Chez Gladines Butte aux Cailles,"4,4",20–30 €,Restaurant basque,"Plats mijotés, escalopes et autres mets rustiques originaires du sud-ouest de la France, proposés dans une salle à manger cosy.","30 Rue des cinq Diamants, 75013 Paris"
Chào bà restaurant,"4,7",20–30 €,Restaurant vietnamien,"Restaurant vietnamien au cadre détendu servant des plats classiques (rouleaux de printemps, soupe phở, bún bò Huế, bún chả, etc.).","14 Rue Coypel, 75013 Paris"
Chez Papa 13,"4,2",20–30 €,Restaurant de spécialités du sud-ouest de la France,Spécialités basques dans un cadre convivial décoré de mobilier et de murs en bois et de piments suspendus.,"27 Rue de la Colonie, 75013 Paris"
L'Hommage,"4,8",€€,Restaurant,"Plats créatifs bien présentés, à base d'ingrédients du monde entier, servis dans une salle contemporaine aux murs peints en blanc.","36 Av. de Choisy, 75013 Paris"
Comme à la campagne,"4,6",€€,Restaurant français,Cuisine de saison proposée dans un charmant restaurant à l'atmosphère provinciale doté d'une terrasse en extérieur.,"41 Pl. Jeanne d'Arc, 75013 Paris"
Au Petit Marguery,"4,1",€€,Restaurant français,"Plats classiques dans un cadre 1900 orné de fresques Belle Époque, d'appliques fleuries et de boiseries.","9 Bd de Port-Royal, 75013 Paris"
Chez Trassoudaine,"4,8",€€€,Restaurant français,"Mets de poisson en saison et steaks copieux dans un restaurant lumineux, chaleureux et orné de nombreuses plantes.","3 Pl. nationale, 75013 Paris"
"Simone, Le Resto...","4,8",€€,Restaurant gastronomique,Plats de brasserie classiques présentés de façon créative et menus dégustation raffinés dans un restaurant élégant avec terrasse.,"33 Bd Arago, 75013 Paris"
Pho 13,"4,1",10–20 €,Restaurant vietnamien,"Rouleaux de printemps vietnamiens classiques, nouilles sautées et currys épicés servis dans un restaurant sobre et moderne.","66-68 Av. d'Ivry, 75013 Paris"
Milord,"4,8",€€,Restaurant,,"12 Rue de Tolbiac, 75013 Paris"
Chez Nathalie,"4,4",30–40 €,Restaurant,Plats raffinés de viande et de poisson associés à des vins et servis dans une salle lumineuse ou sur une terrasse côté rue.,"45 Rue Vandrezanne, 75013 Paris"
Restaurant Lao Lane Xang,"4,3",20–30 €,Restaurant laotien,"Nombreux plats laotiens, thaïlandais et vietnamiens faits maison, servis dans une petite salle au cadre cosy.","102 Av. d'Ivry, 75013 Paris"
Restaurant 13 Sens Lounge,"4,8",20–30 €,Restaurant,,"Av. Joseph Bédier, 75013 Paris"
Comme au Vietnam,"4,4",20–30 €,Restaurant vietnamien,"Restaurant contemporain orné de photos et de plantes vertes, qui propose des spécialités vietnamiennes.","195 Av. de Choisy, 75013 Paris"
Virgule,"4,5",€€,Restaurant français,"Ce restaurant de quartier, orné de rideaux à mi-hauteur, prépare une cuisine française traditionnelle.","9 Rue Véronèse, 75013 Paris"
Tadam,"4,7",30–50 €,Restaurant français,Restaurant intimiste servant une cuisine française créative à base d'ingrédients de saison et des vins sélectionnés avec soin.,"14 Rue du Jura, 75013 Paris"
Au Petit Village,"4,7",20–30 €,Restaurant,"Couscous revisité, pâtisseries orientales et thé vert dans un restaurant cosy à l'ambiance décontractée.","6 Rue Coypel, 75013 Paris"
Le Jéroboam,"4,8",€€,Restaurant français,Cuisine créative de bistrot français aux influences du monde entier dans une brasserie pittoresque à la décoration colorée.,"72 Rue Didot, 75014 Paris"
Chez Papa,"4,3",20–30 €,Restaurant français,"Spécialités traditionnelles du Sud-Ouest dans une atmosphère populaire, autour de tables en bois d'auberge.","6 Rue Gassendi, 75014 Paris"
Restaurant 14 Juillet,"4,5",20–30 €,Restaurant français,"Restaurant cosy proposant des terrines, des profiteroles et d'autres classiques accompagnés d'un large choix de vins.","99 Rue Didot, 75014 Paris"
L’Essentiel - Restaurant Paris 14,"4,3",20–30 €,Bistro,Ce bistrot aux touches industrielles propose plats de saison ou canailles dans un cadre intimiste et animé.,"168 Rue d'Alésia, 75014 Paris"
Buffalo Grill Paris 14,"4,1",20–30 €,Restaurant,"Chaîne de restaurants spécialisés en grillades et burgers, au décor de far west et à l’ambiance familiale.","117 Av. du Général Leclerc, 75014 Paris"
Le Bistrot des Campagnes,"4,4",€€,Restaurant français,"Viandes, plateaux de fromages, menus fixes et carte des vins dans un restaurant lambrissé vintage.","6 Rue Léopold Robert, 75014 Paris"
Assanabel Paris - Alésia,"4,7",€€,Restaurant libanais,"Élégant restaurant sur deux niveaux proposant mezzés, brochettes grillées et baklavas, avec vins libanais et français.","6 Rue d'Alésia, 75014 Paris"
L'EMPREINTE,"4,6",€€,Restaurant français,Plats traditionnels français revisités de façon raffinée et menus fixes servis dans un restaurant élégant et moderne.,"5 Rue Mouton-Duvernet, 75014 Paris"
restaurant A MI-CHEMIN Paris 14 ème,"3,7",,Restaurant français,"Plats saisonniers de brasserie aux saveurs tunisiennes, ainsi que couscous et grande carte des vins dans un cadre intimiste.","31 Rue Boulard, 75014 Paris"
Félicie,"4,4",20–30 €,Bistro,"Viandes, tartare, cocktails et brunch le weekend proposés dans une élégante brasserie avec terrasse côté rue.","174 Av. du Maine, 75014 Paris"
La Verrière PARIS,"4,6",,Restaurant français,Restaurant d'hôtel haut de gamme proposant des plats français d'inspiration japonaise et un buffet pour le brunch du dimanche.,"4 Rue Niépce, 75014 Paris"
Le Petit Baigneur,"4,6",20–30 €,Restaurant français,"Escargots, plats de steak et autres classiques dans une brasserie au charme d'antan, avec des posters vintages et une décoration kitsch.","10 Rue de la Sablière, 75014 Paris"
L'Assiette,"4,6",€€,Restaurant français,"Cuisine du terroir (dont cassoulet, terrines et gibier) servie dans un restaurant doté d'un plafond richement décoré et de miroirs.","181 Rue du Château, 75014 Paris"
Basilic Thaï - Restaurant Paris 14,"4,7",10–20 €,Restaurant thaï,,"98 Bd du Montparnasse, 75014 Paris"
Le Cornichon - Maison fondée en 2011,"4,5",€€,Restaurant français,Ce bistrot sert dans une salle aux tons sombres rehaussés de peintures colorées des mets raffinés de saison.,"34 Rue Gassendi, 75014 Paris"
Restaurant La Cantine du Troquet Daguerre,"4,5",30–40 €,Restaurant français,"Restaurant de chaîne simple doté d'une terrasse, proposant des plats, des desserts et des vins raffinés.","89 Rue Daguerre, 75014 Paris"
Les Artistes,"4,5",20–30 €,Restaurant français,"Restaurant sobre avec terrasse proposant spécialités locales dont poisson, fruits de mer, plats de viande et planches de charcuterie.","60 Rue Didot, 75014 Paris"
Le Saut du Crapaud,"4,6",€€,Restaurant français,"Plats fusion franco-mexicains aux noms originaux et à la présentation soignée, servis dans une brasserie colorée et cosy.","16 Rue des Plantes, 75014 Paris"
Kigawa,"4,8",+ de 100 €,Restaurant français,"Spécialités françaises raffinées cuisinées par un chef japonais et servies dans un décor chic, sobre et clair.","186 Rue du Château, 75014 Paris"
Aux Plumes,"4,7",,Restaurant,Restaurant simple et intimiste proposant des menus franco-asiatiques originaux à prix fixe ainsi que des vins bio.,"45 Rue Boulard, 75014 Paris"
750g la table I Porte de Versailles,"4,6",20–30 €,Restaurant français,Brasserie animée servant des plats et des vins français. Les portes en accordéon s'ouvrent pour laisser entrer l'extérieur.,"397 Rue de Vaugirard, 75015 Paris"
Le Relais du 15ème,"4,7",20–30 €,Restaurant italien,,"78 Av. Emile Zola, 75015 Paris"
L'Antre Amis,"4,6",€€,Restaurant français,"Tapas raffinées, menus fixes et large choix de vins proposés dans un restaurant élégant doté de tables en extérieur.","9 Rue Bouchut, 75015 Paris"
L'Ardoise du XV,"4,4",40–50 €,Restaurant français,Menus fixes composés de plats français revisités de façon créative dans un espace élégant et minimaliste inspiré des années 1960.,"70 Rue Sébastien Mercier, 75015 Paris"
Harper's Paris 15,"4,8",20–30 €,Restaurant français,,"46 Bis Bd du Montparnasse, 75015 Paris"
Le CasseNoix,"4,7",€€,Restaurant français,Menu renouvelé de plats de style brasserie française et de vins dans un cadre rétro pittoresque avec terrasse côté rue.,"56 Rue de la Fédération, 75015 Paris"
Bistrot Chic,"4,6",€€€,Restaurant,"Plats français, dont produits de la mer, dans un lieu moderne aux teintes douces évoquant la nature et la mer.","54 Av. Félix Faure, 75015 Paris"
La Véraison,"4,8",€€,Restaurant français,"Plats français créatifs à base de viande, poisson et légumes dans un cadre coloré de style décontracté.","64 Rue de la Croix Nivert, 75015 Paris"
L'Armandie - Restaurant Fruits de Mer Paris 15,"3,8",€€,Restaurant de fruits de mer,"Inauguré en 1932, cet élégant restaurant doté d'une terrasse est réputé pour ses plats de poissons et de fruits de mer raffinés.","2 bis Rue Pétel, 75015 Paris"
Joya,"4,7",20–30 €,Restaurant italien,,"47 Rue St Charles, 75015 Paris"
Le Bélisaire,"4,7",€€,Restaurant français,"Plats préparés avec les produits de saison du marché, proposés dans un restaurant au charme d'antan.","2 Rue Marmontel, 75015 Paris"
La Petite Auberge,"4,6",,Restaurant,"Restaurant traditionnel français sobre et chaleureux, ex-QG des joueurs du Racing Club de France de Rugby.","13 Rue du Hameau, 75015 Paris"
PAVILLON Paris 15,"4,4",20–30 €,Restaurant français,,"53B Av. de la Motte-Picquet, 75015 Paris"
Neige d'été,"4,6",+ de 100 €,Restaurant français,"Menus dégustation composés de plats axés sur les produits de la mer élégamment présentés, servis dans une salle à manger sobre chic.","12 Rue de l'Amiral Roussin, 75015 Paris"
AlKaram Paris 75015,"4,8",30–40 €,Restaurant libanais,"Doté de panneaux de bois et décoré de tableaux, ce restaurant élégant propose des spécialités libanaises.","15 Rue Ferdinand Fabre, 75015 Paris"
Restaurant Pilgrim.,"4,6",+ de 100 €,Restaurant français,Restaurant gastronomique proposant des menus dégustation créatifs ainsi que des accords mets et vins dans un cadre épuré.,"8 Rue Nicolas Charlet, 75015 Paris"
L'Insoumise,"4,7",€€,Restaurant français,"Restaurant à l'élégante devanture, pour une cuisine traditionnelle maison servie dans un décor épuré.","15 Rue Auguste Chabrières, 75015 Paris"
De La Tour,"4,8",,Restaurant,Cuisine française classique et vins proposés dans une brasserie de famille populaire dotée de parquet et de nappes blanches.,"6 Rue Desaix, 75015 Paris"
L'Inattendu,"4,5",50–60 €,Restaurant gastronomique,Plats français réinventés et large choix de vins proposés dans un restaurant élégant et sobre.,"99 Rue Blomet, 75015 Paris"
Restaurant Étude Paris 16,"4,6",+ de 100 €,Restaurant,Restaurant gastronomique à l'approvisionnement responsable proposant des plats français contemporains et végans pour certains.,"14 Rue du Bouquet de Longchamp, 75116 Paris"
Le Bois,"4,3",20–40 €,Restaurant français,"Adaptée aux familles, cette brasserie branchée avec une terrasse est prisée pour sa salade César, ses burgers et sa crème caramel.","29 Rue Bois le Vent, 75016 Paris"
Le Paris Seize,"4,6",€€,Restaurant,"Dans un cadre décontracté et familial, restaurant à l'ambiance de bistrot italien pour des plats typiques.","18 Rue des Belles Feuilles, 75116 Paris"
XVIe Avenue,"3,8",20–30 €,Restaurant français,"Brasserie rétro élégante dotée d'une terrasse, servant des steaks, des escargots et d'autres classiques.","45 Av. Raymond Poincaré, 75016 Paris"
Restaurant Marcel 16,"4,4",20–30 €,Restaurant,Petit restaurant doté de murs en pierres apparentes et de banquettes colorées servant des saveurs américaines.,"15 Rue Mesnil, 75116 Paris"
Bon,"4,2",€€€,Restaurant,Restaurant chic proposant une cuisine fusion franco-asiatique et des desserts dans un espace clair doté de plafonds voûtés.,"25 Rue de la Pompe, 75116 Paris"
Substance,"4,5",+ de 100 €,Restaurant gastronomique,Cuisine novatrice proposant des accords savoureux de mets et vins dans un cadre contemporain.,"18 Rue de Chaillot, 75116 Paris"
CHEZ TONY bistrot français PARIS 16 La Muette,"4,6",30–40 €,Restaurant français,,"34 Rue Bois le Vent, 75016 Paris"
Restaurant 16 avenue,"2,3",,Restaurant français,,"Rue Saint-Didier, 75116 Paris"
SOGNO PARIS,"4,8",,Restaurant italien,,"42 Rue de l'Amiral Hamelin, 75016 Paris"
DAROCO 16,"4,2",€€€,Restaurant italien,"Restaurant élégant servant des plats italiens classiques (pâtes, risotto, pizzas cuites au feu de bois, etc.).","3 Pl. Clément Ader, 75016 Paris"
LA TERRASSE,"4,4",10–20 €,Restaurant italien,"Brasserie à l'ambiance bohème avec terrasse, proposant tapas et plats italiens classiques, ainsi qu'un large choix de boissons.","5 Pl. de Barcelone, 75016 Paris"
Numéro 41,"4,4",20–40 €,Restaurant,Cadre chaleureux avec carrelage ancien pour ce restaurant servant une cuisine française traditionnelle.,"41 Av. Mozart, 75016 Paris"
Les Filaos – Restaurant Réunionnais & Mauricien - Paris 16,"4,3",€€,Restaurant créole,"Dans une salle sobre et élégante, une cuisine familiale de l'Île Maurice alliant exotisme et modernité.","5 Rue Guy de Maupassant, 75116 Paris"
Tse Yang - Restaurant Gastronomique Chinois Paris 16,"4,0",,Restaurant chinois,"Mets chinois raffinés servis dans un décor contemporain et distingué en noir et blanc, à l'éclairage tamisé.","25 Av. Pierre 1er de Serbie, 75116 Paris"
Le Petit Rétro,"4,4",€€€,Bistro,Restaurant décoré dans un style Art nouveau avec de la faïence d'époque et qui sert des plats traditionnels.,"5 Rue Mesnil, 75116 Paris"
,,,,,
Le Relais du Bois,"4,6",30–40 €,Restaurant français,"Somptueux restaurant établi de longue date, proposant des plats traditionnels comme des moules et une tarte Tatin maison.","1 Rue Guy de Maupassant, 75116 Paris"
Chez les frisheurs,"4,3",20–30 €,Restaurant français,,"22 Rue de Bassano, 75116 Paris"
Restaurant Alan Geaam,"4,8",+ de 100 €,Restaurant gastronomique,Restaurant simple et élégant proposant une cuisine française créative aux influences libanaises ainsi que des accords mets et vins.,"19 Rue Lauriston, 75016 Paris"
Le P'tit Bougnat,"4,3",€€,Restaurant français,"Restaurant cosy et original proposant cuisine française typique, plats à base de viande et vin.","118 Bd de Courcelles, 75017 Paris"
Break | Restaurant Paris 17 | Terrasse | Brunch Paris,"4,4",20–30 €,Restaurant,,"119 Bd Pereire, 75017 Paris"
Chez Gabrielle,"4,7",€€,Restaurant français,"Foie gras, tartares, moules, steaks et large choix de vins proposés dans un restaurant chic doté d'une terrasse.","7 Rue de l'Étoile, 75017 Paris"
Le Général,"4,0",€€€,Restaurant,Café-brasserie élégant à proximité de l'Arc de triomphe avec terrasse prisée pour prendre le petit-déjeuner ou un dîner tardif.,"17 Av. de Wagram, 75017 Paris"
Le Diplomate Paris 17,"4,4",€€,Restaurant,"Brasserie contemporaine, chic et colorée avec terrasse proposant des plats du terroir aux accents auvergnats.","110 Bd de Courcelles, 75017 Paris"
Le Bistrot d'Yves,"4,7",30–40 €,Restaurant,Interprétations modernes de plats de foie gras et de steaks tartares classiques. Restaurant populaire à la décoration simple.,"33 Rue Cardinet, 75017 Paris"
Champotes,"4,9",,Restaurant,,"3 Vla Berthier, 75017 Paris"
Vive Restaurant,"4,4",+ de 100 €,Restaurant de poisson,,"62 Av. des Ternes, 75017 Paris"
Le Relais Gascon montmartre paris18e,"4,3",20–30 €,Restaurant français,"Restaurant traditionnel doté d'une terrasse, servant des plats maison du Sud-Ouest de la France.","13 Rue Joseph de Maistre, 75018 Paris"
Au Clair de la Lune,"4,2",20–30 €,Restaurant,"Restaurant pittoresque et original avec terrasse, servant des plats de brasserie tels que soupe à l'oignon et magret de canard.","9 Rue Poulbot, 75018 Paris"
Chez Plumeau,"4,1",€€,Restaurant,"Plats traditionnels comme escargots, soupe à l'oignon et grillades de viande servis sur une terrasse verdoyante ou dans des salles à manger cosy.","4 Pl. du Calvaire, 75018 Paris"
Le Gabin,"4,2",20–30 €,Restaurant français,,"25 Rue Lambert, 75018 Paris"
Le 975 - Restaurant Paris 18,"4,8",20–30 €,Restaurant français,Petite brasserie sobre à la façade vitrée proposant menus de dégustation avec plats internationaux créatifs.,"185 Rue Marcadet, 75018 Paris"
Chez Rita et Claudio,"4,7",10–20 €,Restaurant italien,"Restaurant italien rustique doté d'une terrasse, proposant des pizzas, des pâtes, des sandwichs, des desserts et du vin.","70 Rue du Mont-Cenis, 75018 Paris"
Mamie Colette,"4,7",20–30 €,Restaurant français,,"17 Rue des Trois Frères, 75018 Paris"
Bistro L'Olivier,"4,8",30–40 €,Restaurant,"Plats traditionnels copieux, desserts et vins proposés dans un restaurant au mobilier chaleureux doté d'une terrasse.","88 Rue Ordener, 75018 Paris"
Le Petit Moulin,"4,6",20–30 €,Restaurant français,"Restaurant intimiste de style décontracté proposant des plateaux de charcuterie et de fromage, ainsi que des desserts et du vin.","17 Rue Tholozé, 75018 Paris"
