name,rating,price,restaurant_type,address,combined_desc_reviews_type
Au Vieux Comptoir,4.6,,French restaurant,"17 Rue des Lavandières Sainte-Opportune, 75001 Paris 1","seasonally changing menu french classic sprinkled global touch convivial bistro pleasant surprise neighborhood restaurant long would like find everywhere rustic friendly eat one next others without authentic place simply perfect kitchen irresistible wine list make want test everything warm service andradiant thank exceptional moment start would really like insist anne's unique laccueil waitress, rare pampered point restaurant fortiori paris feel much like please French restaurant"
L'Ardoise,4.4,,French restaurant,"28 Rue du Mont Thabor, 75001 Paris 1","refined dish focus seasonality plus set menu option cozy bistro setting made lunch tuesday january restaurant well placed service relatively fast dish original good, however found price high room small table close together make conversation difficultthe service little discreet restaurant good french -style french kitchen fresh product fast service intimate atmosphere great discovery lot pleasure bacon eaten well discovered honest restaurant offer u fresh tasty productsservice friendly price reasonable French restaurant"
Restaurant de La Cordonnerie,4.7,,Restaurant,"20 Rue Saint-Roch, 75001 Paris 1",traditional dish charming operation woodbeamed ceiling oldworld feel flee restaurant de la bullshit rather nnous eaten restaurant lunchtime colleague group 6 woman 1620nvote tiny restaurant give immense pleasure also small soil shoemaking yvette claude indeed quintessence always exceptional 20 yearswe see kitchen reassuring sometimes little normal date vacuum vacuum real cooking lot freshness Restaurant
Bella Piazza,4.4,20.0,Italian restaurant,"8 Rue de la Petite Truanderie, 75001 Paris 1",woodfired pizza pasta dessert dished relaxed italian place terrace went filled say defect also good net sign exactly case pizza took delicious good restaurant italianncadre simple suitable reception rather long worth itexcellent restaurant discovered random stroll good fact quality product served hot pizza bella rossa original delicious special mention xl iced tea tiramisu pistachio delice Italian restaurant
Le Comptoir des Petits Champs,4.5,,Bistro,"17 Rue des Petits Champs, 75001 Paris 1",elegant bistro oldworld vibe serving generously portioned contemporary french dish excellent french cuisine accent world surprised dish smoked eel via mortadelle frying veal via lexcellentissime chou flower fried without forgetting excellent restaurant eaten good well -worked productsand tasty vegetarian nopion pépite parisienne cuisine season food ingeniously assembled friendly well decorated setting discreet professional service highly recommended return delicious thank moment recently extraordinary experience restaurantand feel obliged share fantastic service exceptional staff attentive friendly server really added superb restaurant setting warm comfortable staff welcoming friendly even large tablewe quickly served wine drink worked everything Bistro
Le Tout-Paris,4.6,100.0,French restaurant,"8 Quai du Louvre, 75001 Paris 1",gourmet fare panoramic seine view chic rooftop eatery cheval blanc paris hotel mixed experience paris cook neither really bad really good setting view remain strong point establishment found service hurry stressed appetizer gougère without delicacy say simply incredible start finnleservice pleasant everyone attentive flat exquisite lobster good olive puree great gourmet restaurant took sunday menu lot eat dish particularly good sightin paris magnificent laccueil staff warm recommend loved service filing lhotel know right distance consideration without technically perfect guide ultra sympathetic 20122024 5 pensnous wished thank teamwhite horse paris professional laccueil well quality commitment work French restaurant
Restaurant Maison 28,4.4,,French restaurant,"28 Rue Saint-Roch, 75001 Paris 1","contemporary upscale cuisine chic setting cocktail terrace le roch hotel spa neo -modern setting 1960s 60 mixed 2020 deliciously deliciously eating ravioli tasteful yellowed, preferred little longer leffiloche dagneau gratin would like little generosity dish onecarrot delicious pot fire damage good good nice setting service bit slow French restaurant"
Le Petit Bouillon Pharamond,4.2,20.0,Restaurant,"24 Rue de la Grande Truanderie, 75001 Paris 1",traditional french cuisine served oldworld dining room flowery wall etched mirror excellent surprise since time reported time go excellent address ate good simple efficient well executed duck babe duck snail first restaurant little long waitwe drank glass lannexe enjoyed dish completely valiant server welcoming smiling put beautiful address burgundian beef good despite accessible price Restaurant
La Régalade Saint-Honoré,4.5,,French restaurant,"106 Rue Saint-Honoré, 75001 Paris 1",artfully presented bistrostyle dish rustic woodbeamed venue exposed stone wall 1010 without hesitation everything absolutely perfect slow dessert dish well presented tasty treat addition service impeccable lunch week little gift voucher menudiscovery flat entrance dessert aperitif offered super tasty house rabbit terrine step accompanied glass laccord wine mets wine included came dinner 9 colleague server welcoming lecoute verybiennla kitchen good flat dessert menu sufficient quantity French restaurant
Camélia,4.3,100.0,French restaurant,"251 Rue Saint-Honoré, 75001 Paris 1","cosmopolitan expansive restaurant offering ecoconscious fine dining garden table staff pleasant professional, real pleasure took snack chef julien dugourd see card excellent generous exceptional meal uncle already come teatime start time came forlunch pure wonderful wonder professional pleasant smile feel expectedo sobrentoutou well received bowl available immediately delicious lunch terrace real oasis heart paris song bird primendsand tasty dessert die ground restaurant smell smoke time taken tea time dhiver much sweet heavy denying end disgusted French restaurant"
Café Joséphine,4.3,40.0,Restaurant,"3 Pl. des Deux Ecus, 75001 Paris 1","welcomed smile make happy restaurant practical terrace quick lunch without fuss damage louvery quite dark took lavocado toast octopus salad fresh well seasoned correct price brasseriewith fairly classic card price correct portion related dish served hot tiramisu homemade rather generous cooky soaked super time coffee spent family terrace brunch thisafternoid setting friendly welcoming perfect enjoy prolonged weekend really generous meal varied choice fresh product ideal come several time limprotist whatever hour, always well received surprised change cardor today icongratulations staff welcome welcome dej family young child welcome extra super fast top service hyper refined cuisine like recommend come back Restaurant"
Granite,4.7,100.0,Haute French restaurant,"6 Rue Bailleul, 75001 Paris 1",exceptional evening granite restaurant chance placed high table view kitchen able exchange directly chef dish fine refined sil pro remaining super disappointing dish lack finesse performance serviceis worth price paid restriction indicated reservation taken account exceptional restaurant nle vegetarian menu delicious delicious chance chef's table see latter draw dish front u arrived inthis restaurant little chance really delighted surprised everything also perfect warm welcome even reservation problem professional friendly service first u starry restaurant beautiful discovery placeis welcoming placed front kitchen give privatized impression honor dish obviously Haute French restaurant
Chez Claude,4.1,30.0,French restaurant,"166 Rue Saint-Honoré, 75001 Paris 1",french bistro classic served lively bistro simple wooden decor sidewalk terrace everything top start finish end restaurant frequented empty limit time lunch service fast impeccable highly recommend brasserie ideally located lunch around 3 p.m. laccueil friendly professionalexecuted incredible paris hyper friendly welcome bos known long time telling card tasted savored cassolette doeufs calf au bleu dauvergne killing jen new year party discovered thisrestaurant bos welcomed u installed warm came see u several resumption evening see everything went pleasant lunch family visit louvrela proximity museum oflouvre topnle service impeccable dish delicious meat French restaurant
Loup,4.2,40.0,French restaurant,"44, rue du Louvre Angle, Rue Coquillière, 75001 Paris 1",eclectic restaurant offering carefully sourced traditional menu organic wine heated patio 455njai adored restaurant hearty house cordon blue good crisp generous puree mushroom sauce super good well presented took cordon blue lasagna super decor pretty dish bitdear district really good alcohol -free cocktail taken virgin spritz domote disvation relaxation magnificent parisian restaurant feasted atypical card decoration sublime original correct price server nice recommendin rue du louvre spent excellent evening everything particularly well led léquipe laccueil dish great generosity one best place taste authentic dish french cuisine service fast server nicea special thank fadil recommending best soup loignon cordon bleu de paris delicious highly recommend French restaurant
Le Petit Saint Honoré,4.1,,French restaurant,"158 Rue Saint-Honoré, 75001 Paris 1",beautiful discovery good cooking lentrecôte 2 perfect super tender portion generous reasonable price welcoming personal district beautiful restaurant setting typical parisian atmosphere standing restaurant thequality nice local courteous server product ideal location used restaurant pleasant intimate setting service well unrolled server occupied correctly usnniveau meal rumsteck tender excellent good time spent simply shameful ordered hot chocolateswith carafe deau server refused u carafe giving u explanation carafe entitled customer consume food besides put 1 good restaurant food good theroitto pleasant atmosphere great time leave bad note fork make French restaurant
Postiche Bistrot,4.6,,French restaurant,"62 Rue Jean-Jacques Rousseau, 75001 Paris 1",tartares entrecôtes fish dish charming intimate bistro mirror timber accent love place least 2 thing terrine deserves detour beautiful quality rib steak served good mash green salad excellent u200d cuisine nlieu cosynpar service slightly high value money view mini quantity composingentrances dessert great time ideal romantic time flat friend really good quality product French restaurant
Au Bistro,4.4,30.0,Bistro,"8 Rue du Marché Saint-Honoré, 75001 Paris 1","set menu classic bistro dish charcuterie cozy compact venue terrace table real happiness brought english american colleague little bistro pure french happiness thank great moment food excellent lambing like good top good welcome good cuisine weredelighted come across bistro la petite longer let go mickey's ear hole good bistro style address good tourist district tender tasty exceptional herring, nice atmosphere jy returned recently still alsogood excellent tartare saint marcelin mother richard lyon delight Bistro"
Loup,4.2,40.0,French restaurant,"44, rue du Louvre Angle, Rue Coquillière, 75001 Paris 1",eclectic restaurant offering carefully sourced traditional menu organic wine heated patio 455njai adored restaurant hearty house cordon blue good crisp generous puree mushroom sauce super good well presented took cordon blue lasagna super decor pretty dish bitdear district really good alcohol -free cocktail taken virgin spritz domote disvation relaxation magnificent parisian restaurant feasted atypical card decoration sublime original correct price server nice recommendin rue du louvre French restaurant
LE DIAMANT DE PARIS,4.5,40.0,French restaurant,"59 Rue Servan, 75011 Paris 11","intimate restaurant classic french mediterranean dish occasional global twist reunion meal, friend memorable experience, dish good fresh product hand love dessertsnle service top nice smiling waitress high quality service waitress smile anda wonderful good humor divine cuisine lentrée treat dessert passage part warm boxnrestant box pleasant intimate friendly excellent meal intimate welcoming setting perfect waitress concerned good ride mealhighly recommend French restaurant"
Pierre Sang,4.5,,Restaurant,"55 Rue Oberkampf, 75011 Paris 11","super good bibimbap beef vegetable best know perfect really perfect vegetable crunchy tasty flavor flavor real pleasure taste bud unique experience incredible atmosphere concept guessing eaten add real originality mealand bite treat place discover absolutely pierre sang restaurant real culinary experience warm friendly setting, immediately seduced relaxed cowexceptional moment unbeatable value money fusion french cuisine korean subtlety perfect team small detailed atmosphere atmosphere dish successful thank shared great moment chef maxime cooking class marketna passage market wheremaxime referred u buy Restaurant"
Brasserie Martin,4.6,30.0,French restaurant,"24 Rue Saint-Ambroise, 75011 Paris 11",stylish choice outdoor table warm vibe serving generous menu seasonal classic friendly brasserie warm atmosphere njai able savor quality franchouillarde cuisine beautiful setting unmalizing service meeting bit overwhelmed see lost good kitchen reasonable price paris long service sothat card relatively short end service moreover remind server 3 time bring u superb brewery interior decoration beautiful server top effect efficient smiling ordered theduck mine hot enough nice reception since row chef agreed put u terrace despite laffluence metais deceived nlambiance reservation joyful fast cool service excellent dinner brasserie martinnles plate deliciousand generous service attentive fast oyster homemade tarama roasted pig room gratin dauphinois dish French restaurant
Qui plume la lune,4.7,100.0,French restaurant,"50 Rue Amelot, 75011 Paris 11","set menu creative french fare paired wine served stylish upscale venue successful experience magnificent star restaurant server caring quality dish really treat start end romantic meal celebrate birthday spent nice evening pleasant setting dish goodpresented loved everything staff also caring spend dated time dish far long 3040min literally previous lassiette recovered already made 1 good never expected long done3h site beautiful discovery gourmet restaurant plume moon located near place de la bastille, real pleasure deception moment explore cuisine jeanchristophe rizet chose momentvery pleasant let carried away desire chef nla kitchen excellent huge crush two dessert served evening presentation pretty dish French restaurant"
Restaurant les Fabricants,4.5,30.0,Restaurant,"61 Rue Jean-Pierre Timbaud, 75011 Paris 11",easygoing bistro offering wine spotlighting recipe southwest france kind jewelry want hide others increase price full go regularly front restaurant tell tell really raised one evening performance theater decided totrying luck without reservation service pleasant reception dish super generous hold dessert keep small placenla manufacturer salad huge good product loved good address meeting love product good quality servicefriendly served flat record time generous come room came lannnivership dad loved kitchen south west disappointed nles dish generous good Restaurant
Onze À Table,4.7,,Restaurant,"10 Rue de la Folie Méricourt, 75011 Paris 11",rustic traditional cuisine creative cocktail presented warm unpretentious setting two super reception bar drink generous tasty dish friendly moment table beautiful address perfect sunday sunday brunch lemonade house aux viennoiseries de la bruschetta lost brioche warm playful service thank goodexcellent moment dish nngros disadvantage noise good address lunch nles duck ravioli top like service place small restaurant terrace st ambroise district pleasant pretty decoration length césar salad good enough elaborate tastesimple Restaurant
Les Petits Papiers,4.6,40.0,French restaurant,"18 Rue Oberkampf, 75011 Paris 11",restaurant unfortunately remained little much jusnn u reserved thanks right google opinion unfortunately great restaurant dish simple presentation surprised finesse flavor offered paradise people circus full known dartist photosalongside bouglione family made honor circus well done laccueil restaurant warmest small restaurant look like apparently good fresh product think card change tartare quite oftenxa0french riveiraxa0 delicious lunch menu 15 starter dish fast quick service good time little wonder kitchen exelente refined French restaurant
Eunoé,4.8,,Restaurant,"6 Rue Rochebrune, 75011 Paris 11",beautiful address offer homemade cuisine young japanese chef generous inventive original gourmet cuisine beautiful association flavor nice service without headache wine card place nla kitchen delicious original presentationdishes neat meticulous lide tartare xa0renverséxa0 great dish die original perfectly mastered beautiful wine card good advice impeccable service controlled price given bravo qualitywe loved lunch lunchtime formula generous affordable content quality flat flavor well balanced day dessert found drink soft hair expensive 8th glass rather good dinner eunoe restaurant locatedin paris 11nnle chef ryuji sato offer cosmopolitan cuisine strong influence Restaurant
Orgueil,4.7,,French restaurant,"6 Rue Popincourt, 75011 Paris 11",super speakeasy experience good welcome team chef server great immersion frame kitchen delicious favorite dish 3 leek starter mushroom good restaurant concept surprise menu conquered u different flavor offeredthis allows discover new thing nevertheless little improve concerning theorganization confusion dish commercial gesture simply recommend incredible dish delicious real personal treat atmosphere top also small plate share wewe took delicious particular lagneau confit salicorns shared 8 small plate 4 perfect wine bottle little expensive chose menu 45per including 6 plate dessert share French restaurant
Achi,4.7,,Restaurant,"13bis Ave Parmentier, 75011 Paris 11","super restaurant map developed change according seasons, recommend choosing menu 35 flat entrance dessertn u spent great evening elegant intimate frame pleasant welcome smiling friendly staff attentive dish excellent fact withseasonal food changing regularly really enjoyed strongly recommend restaurant superb experience food service decor magnificent value money excellent, never eat well paris price menbon courage léquipe fell hadard onthis restaurant recommend nnque slow dish dessert il ny nothing complain fairly mixed experience renew partnnun sympathetic lack reactivity date Restaurant"
Pierre Sang on Gambey,4.7,,Haute French restaurant,"6 Rue Gambey, 75011 Paris 11",superb experience came dinner mother sunday evening feasted z special mention matthias caring along menu 6 step well balanced flavor spent adelicious moment laccueil restaurant absolutely adorable staff concept discovering food guessing composition absolutely delicious kitchen excellent choice wine fun coming back really unique experience concept lava menu original fun perfect forrediscover sen trying identify ingredient dish tasty service impeccable average actually qualityprix ny report would preferred little talent kitchen rather quen marketing good nothing frankly surprising nothing delight thempapillas playful delicious experience concept taste service 6 dish u guess ingredient debrief server dish love proposal perfect egg broth Haute French restaurant
Le Rey - Restaurant Paris 11,3.9,30.0,French restaurant,"130 Rue de la Roquette, 75011 Paris 11",classic brasserie fare like steak frites charcuterie plate plush woodpaneled space rey davant miss 0nserverevers 0 elegant restaurant good cuisine reasonable price come back soon breakfast twice lendroit really adorable nice location however big problem worst service thatcan exist disappointing experience service far warm latte served endless despite glass wine ordered never arrived still charged kind negligence unacceptable recommend never seena wait long waited 30 min take order served almost 1.5 hour arrival served cooking respected French restaurant
Korus restaurant,4.7,100.0,French restaurant,"73 Rue Amelot, 75011 Paris 11",refined set lunch evening tasting menu natural wine served sleek space nice discovery came first time birthday everything perfect welcoming server smiling care chose menu 7 step delight product jaime much restaurant le plat interesting thecard change frequently food little slow take long time eat unforgettable experience gourmet cuisine cocoon raw material warm welcome lick chef tell u kitchen amazing ncuisine worked original andunexpected everything cozy atmosphere good value money perfect gastronomic bastille inventive cuisine surprise menu 7 9 dish controlled price adorable team intimate place everyone excellent experience renew French restaurant
Paris-Féni,4.6,30.0,Restaurant,"15 bis Rue Ternaux, 75011 Paris 11",benevolent warm welcome always moved paris year ago vacation paris moment joy hastened return neighborhood jewel heart 11th arrondissement paris thestaff welcoming portion generous quality excellent fresh product suitable price family nice restaurant tasty generous dish fresh fruit juice delicious place often crowded lunch framewithout doubt lambing latmosphere regard food frankly nothing dextraordinary customer certainly come quality fusion restaurant delighted u taste bud adored warm lambing place fresh juice tasty dish quantity aregenerous indian friend surprised biriyani named xa0meur biriyani Restaurant
L'Acolyte de l'Insolite,4.8,30.0,Restaurant,"49 Rue de la Folie Méricourt, 75011 Paris 11",cozy bistro offering everchanging setprice menu creative seasonal fare plus natural wine restaurant advised hotel really delighted arrested aiko nakagawa headline offer delicious dish desired leave lordinaire thank excellent meal service waouuu discovery nquand c favorite restaurateur whorecommend go already good sign settle treat explosion taste bud friendly team intimate frame go without hesitation excellent dinner enjoyed saintjacques tabletop alsoappreciated duck breast veal piece good fit water everything cheese finish place big cozy atmosphere deserves come back remove star formula changed longer proposal small dishesinventive take 2 3 4 following lenvie become normal card starter dish also seems food excellent top thank bcp Restaurant
Le Bec Salé,4.6,30.0,Restaurant,"119 Rue de la Roquette, 1 Rue Pétion, 75011 Paris 11",brown friend sunday morning despite late arrival packed room server dismantled find u cozy little corner always smile dhumour point love warm friendly top lambing concert withor without alcohol dish transport directly mauritius bite mone vid ti bol pimol piman ziska deryer grin éri ale delighted kitchen excellent able discover delicious mauritian flavor server adorable lambwarm restaurant bon report qualitéprix Restaurant
Le Servan,4.5,,Bistro,"32 Rue Saint-Maur, 75011 Paris 11",frenchasian dish like blood sausage wonton ginger pork belly space vintage vibe extraordinary ntout absolutely perfect inventive cuisine subtle mixture french cuisine asian cuisine dish tasty colorful colored nnla food well presented make u discover new disappointment flavor restaurant far expectation first false falsenote despite reservation made opinion restaurant generally positive however reservation original card veal delicious beautiful discovery address make want come back friendly pleasant service Bistro
Bao Express,4.7,30.0,Mandarin restaurant,"10 R. Bréguet, 75011 Paris 11","bao express offer absolutely delicious dish beautifully presented restaurant's native really pleasant setting modern elegant make lexperience even pleasant, however price bao express chinese restaurant specialized baos dimsums restaurant isvery nicely decorated open kitchen service rather fast friendly dish tasty lot choice restaurant pleasant nice room nicely thematized server effective good humor kitchen delicious accessible flavorsnbrefi highly recommend particularly pleasant experience first time come surely return card varied full flavor make travel highly recommend bao pork software hibiscus positive point n convivial warm restaurantfarce de bao well seasoned recommend bao braised pork Mandarin restaurant"
Jolia,4.8,40.0,Mediterranean restaurant,"123 Rue du Chemin Vert, 75011 Paris 11",beautiful discovery experience friend share mediterranean tapa cocktail wine dish small much generous bonus point grilled octopus well dorade carpaccio beautiful discovered kitchen taste beautiful association fullflavors seasonal product share love family good meal friend made multiple mediterranean specialty mixing many flavor combination original pleasant frame friendly staff beautiful discovery interesting flavor like therea risk -taking certain chicken dish sublime good cocktail super super super feel little discovery close theater passage nplats star share kitchen special mention octopus really worth detournurestaurant test without hesitation Mediterranean restaurant
La Padellina,4.8,30.0,Italian restaurant,"1 Rue Chaptal, 75009 Paris 9",ate several time realize never taken time leave comment good italian restaurant near home warm friendly atmosphere several occasion tasty kitchen respectful italian culinary traditionsand close lon find italy even say quality product cooking recipe excellent friendly staff especially little song bos nothing complain recommend 100 regret get thereclosed think reserving restaurant top top friendly atmosphere nservice impeccable delicious creamy good laccueil restaurant top nle italian server push song flat enthusiasm excellent generous Italian restaurant
